time,roll,pitch,yaw,origin_x,origin_y,origin_z
1.71,-177.29508530931304,1.5929647163550813,-2.858731840088253,-158.9187122,328.6270528,36.80415167
1.72,-177.2791931919121,1.5687408610273632,-2.8565287156342256,-158.9089822,328.6589758,36.81408004
1.73,-177.19264467887263,1.6340641971275887,-2.8866955707593758,-158.933291,328.6824259,36.86596079
1.74,-177.16154360090178,1.6197857643744966,-2.854130736703088,-158.9079106,328.6324636,36.88211879
1.75,-177.10570591631978,1.5337995308383507,-2.840106003718136,-158.9237214,328.6028556,36.68713911
1.76,-177.22531594013554,1.5885304711124955,-2.8718164951882006,-158.9494815,328.672324,36.79028227
1.77,-177.2104836665495,1.611075721934818,-2.8793395997243416,-158.9354571,328.7135871,36.97462741
1.78,-177.12206602596464,1.583311844208169,-2.8832719082021336,-158.8899569,328.6626858,36.80500271
1.79,-177.27805017494714,1.610156719492593,-2.884872538146543,-158.9522886,328.6558535,36.79798168
1.8,-177.13101200013006,1.6317723857168,-2.8843452406355836,-158.9049343,328.6721309,36.84751648
1.81,-177.21356867264655,1.5784216965888924,-2.867416821175782,-158.9034363,328.6722647,36.86367147
1.82,-177.16685546465473,1.6263784644554968,-2.8914647661134225,-158.9069919,328.6744343,36.8518517
1.83,-177.28639324676433,1.6036052064954143,-2.8738236801052395,-158.9334166,328.6601135,36.73685334
1.84,-177.26357881605972,1.5353242039351467,-2.844527188598647,-158.9776231,328.6594474,36.78576014
1.85,-177.0146110964858,1.6242163733358779,-2.8730870515967486,-158.9546545,328.6588678,36.80672101
1.86,-177.162256346408,1.6116162515571344,-2.870700726053352,-158.9302207,328.6895853,36.85524336
1.87,-177.18888421969044,1.648415315161747,-2.8896171863715794,-158.8939212,328.6900505,36.91320289
1.88,-177.15596025759805,1.5981297870565392,-2.854988801546258,-158.9473705,328.6375433,36.81028962
1.89,-177.2001296193627,1.614951766223043,-2.8722967775601242,-158.9363522,328.6721515,36.88380068
1.9,-177.17769633465898,1.6381462930559774,-2.871905730966555,-158.9202518,328.6549007,36.86218259
1.91,-177.18082464026634,1.6304901777420735,-2.870147576675436,-158.9611955,328.6907852,36.92930234
1.92,-177.21122233551597,1.6388608644025953,-2.8871988777592548,-158.9209751,328.6601844,36.88414935
1.93,-177.2362590779838,1.561606134486921,-2.851273927824399,-158.9491862,328.6418231,36.79630372
1.94,-177.2406548591141,1.6192080918923764,-2.8701432120640087,-158.9457313,328.6500439,36.79929105
1.95,-177.22084758785488,1.614354338492507,-2.8833415733362733,-158.9411475,328.6491994,36.81218053
1.96,-177.24592470484953,1.6064249262142982,-2.8592257066630813,-158.9278083,328.628863,36.84981591
1.97,-177.06659152794228,1.642880941404472,-2.8743188206069274,-158.9073837,328.6614199,36.86783636
1.98,-177.15235029431014,1.5882521887217564,-2.8623020814306614,-158.9422783,328.6170439,36.80616194
1.99,-177.12497229150142,1.5871126868599619,-2.872936534903702,-158.9490537,328.6533616,36.80248724
2.0,-177.20880780016597,1.6191368619679851,-2.863436812473433,-158.9364623,328.627013,36.79875723
2.01,-177.14602038970406,1.6199637448057251,-2.8717857229096153,-158.9523655,328.6563107,36.80185493
2.02,-177.15719963498307,1.6262913366743683,-2.866147747431808,-158.9417499,328.6748201,36.90492416
2.03,-177.1685058006891,1.555563974629566,-2.8616499995898903,-158.9277681,328.6536889,36.7875975
2.04,-177.13421476081035,1.63672330106681,-2.8843805483961042,-158.9624484,328.6527886,36.87813129
2.05,-177.20629811852257,1.583726428151786,-2.864978592861137,-158.8833172,328.7075439,36.85189248
2.06,-177.24342738280998,1.6315698725781018,-2.88818013508429,-158.9305227,328.663782,36.8599784
